Speaker,Modern Thai,Thai Boran
A,"ฉันอยากจะลองทำกิจกรรมอาสาสมัครเพื่อช่วยเหลือสังคม เธอสนใจไปทำด้วยกันไหม","ข้าอยากจักลองทำกิจกรรมอาสาสมัครเพื่อช่วยเหลือสังคม ท่านสนใจไปทำด้วยกันฤๅไม่"
B,"ฉันก็อยากทำอะไรที่เป็นประโยชน์เหมือนกันนะ ถ้าเธอมีโครงการอะไรที่น่าสนใจก็บอกฉันได้เลย","เราก็อยากทำสิ่งใดที่เป็นประโยชน์เช่นกันหนา หากท่านมีโครงการสิ่งใดที่น่าสนใจก็บอกข้าได้เลย"
A,"งั้นฉันจะลองหาข้อมูลดูนะ แล้วเรามาคุยกันอีกทีว่าจะไปทำอะไรกันดี","หากเป็นเช่นนั้นข้าจักลองหาข้อมูลดูหนา แล้วเรามาสนทนากันอีกคราว่าจะไปทำสิ่งใดกันดี"
B,"ตกลงเลย ฉันพร้อมที่จะช่วยเหลือเต็มที่เสมอ","ตกลงเลย ข้าพร้อมที่จะช่วยเหลือเต็มที่เสมอ"
A,"ฉันรู้สึกว่าตัวเองใช้เวลาอยู่กับหน้าจอโทรศัพท์มากเกินไป อยากหาอะไรทำที่มันสร้างสรรค์กว่านี้","ข้ารู้สึกว่าตนเองใช้เวลาอยู่กับหน้าจอโทรศัพท์มากเกินไป อยากหาสิ่งใดทำที่มันสร้างสรรค์กว่านี้"
B,"ลองหากิจกรรมอดิเรกที่ชอบทำดูไหม เช่น อ่านหนังสือ เล่นดนตรี หรือทำอาหาร","จงหากิจกรรมอดิเรกที่ชอบทำดูฤๅไม่ เช่น อ่านหนังสือ เล่นดนตรี หรือทำอาหาร"
A,"ก็น่าสนใจนะ ฉันอยากจะลองฝึกเล่นดนตรีดู เธอคิดว่าฉันควรจะเริ่มจากอะไรดี","ก็น่าสนใจหนา ข้าอยากจักลองฝึกเล่นดนตรีดู ท่านคิดว่าข้าควรจักเริ่มจากสิ่งใดดี"
B,"ลองหาคอร์สเรียนดนตรีเบื้องต้นดูไหม จะได้มีพื้นฐานที่ดี แล้วค่อยต่อยอดไปเรื่อยๆ","จงลองหาคอร์สศึกษาดนตรีเบื้องต้นดูฤๅไม่ จะได้มีพื้นฐานที่ดี แล้วค่อยต่อยอดไปเรื่อยๆ"
A,"ฉันอยากจะลองทำสวนปลูกผักกินเองที่บ้าน เธอว่ามันจะยากไหม","ข้าอยากจักลองทำสวนปลูกผักกินเองที่เรือน ท่านว่ามันจักยากฤๅไม่"
B,"ไม่ยากหรอก แค่ต้องศึกษาเรื่องดินและพันธุ์พืชสักหน่อย แล้วก็ต้องมีความอดทน","มิยากดอก แค่ต้องศึกษาเรื่องดินและพันธุ์พืชสักหน่อย แล้วก็ต้องมีความอดทน"
A,"งั้นฉันจะลองดูนะ ฉันอยากมีผักสดๆ กินเองที่บ้าน","หากเป็นเช่นนั้นข้าจักลองดูหนา ข้าอยากมีผักสดๆ กินเองที่เรือน"
B,"ฉันจะช่วยหาข้อมูลและเป็นกำลังใจให้เธอเสมอ","ข้าจักช่วยหาข้อมูลและเป็นกำลังใจให้ท่านเสมอ"
A,"ฉันอยากจะลองไปเรียนทำอาหารไทยแบบต้นตำรับ เธอสนใจไปด้วยกันไหม","ข้าอยากจักลองไปศึกษาทำอาหารไทยแบบต้นตำรับ ท่านสนใจไปด้วยกันฤๅไม่"
B,"ฉันสนใจมากๆ เลย การทำอาหารไทยเป็นศิลปะอย่างหนึ่งเลยนะ ฉันอยากเรียนรู้","เราสนใจมากๆ เลย การทำอาหารไทยเป็นศิลปะอย่างหนึ่งเลยหนา ข้าอยากศึกษาเรียนรู้"
A,"งั้นเรามาลองหาข้อมูลคอร์สเรียนที่น่าสนใจกัน แล้วไปสมัครเรียนด้วยกันเลย","หากเป็นเช่นนั้นเรามาลองหาข้อมูลคอร์สศึกษาเรียนที่น่าสนใจกัน แล้วไปสมัครศึกษาเรียนด้วยกันเลย"
B,"ตกลงเลย ฉันจะไปหาข้อมูลด้วย แล้วเราค่อยมาคุยกันอีกทีนะ","ตกลงเลย ข้าจักไปหาข้อมูลด้วย แล้วเราค่อยมาสนทนากันอีกคราหนอ"
A,"ฉันอยากจะลองฝึกภาษาอังกฤษให้คล่องแคล่วมากขึ้น เธอมีวิธีแนะนำไหม","ข้าอยากจักลองฝึกภาษาอังกฤษให้คล่องแคล่วมากขึ้น ท่านมีวิธีแนะนำฤๅไม่"
B,"ลองหาเพื่อนชาวต่างชาติมาคุยด้วย หรือไม่ก็ดูหนังฟังเพลงภาษาอังกฤษเยอะๆ","จงลองหาสหายชาวต่างชาติมาสนทนาด้วย หรือไม่ก็ดูหนังฟังเพลงภาษาอังกฤษเยอะๆ"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองหาเพื่อนออนไลน์ดู ขอบคุณสำหรับคำแนะนำนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองหาสหายออนไลน์ดู ขอบใจสำหรับคำแนะนำหนอ"
B,"ไม่เป็นไรเลย ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","มิเป็นไรเลย หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันอยากจะลองไปเที่ยวแบบแบ็คแพ็คคนเดียวดูบ้าง เธอว่ามันจะอันตรายไหม","ข้าอยากจักลองไปเที่ยวแบบแบ็คแพ็คคนเดียวดูบ้าง ท่านว่ามันจักอันตรายฤๅไม่"
B,"มันก็มีข้อดีข้อเสียนะ ถ้าเธอเตรียมตัวดีและระมัดระวังตัว ก็ไม่น่าจะมีปัญหาอะไร","มันก็มีข้อดีข้อเสียหนา หากท่านเตรียมตัวดีและระมัดระวังตัว ก็ไม่น่าจะมีปัญหาอะไร"
A,"งั้นฉันจะลองศึกษาข้อมูลและเตรียมตัวให้ดีก่อน ขอบคุณสำหรับคำเตือนนะ","หากเป็นเช่นนั้นข้าจักลองศึกษาข้อมูลและเตรียมตัวให้ดีก่อน ขอบใจสำหรับคำเตือนหนอ"
B,"ขอให้เดินทางปลอดภัยและสนุกกับการผจญภัยนะ","ขอให้เดินทางปลอดภัยและสนุกสนานกับการผจญภัยหนอ"
A,"ฉันอยากจะลองทำกิจกรรมที่มันท้าทายความสามารถของตัวเองดู เธอมีอะไรแนะนำไหม","ข้าอยากจักลองทำกิจกรรมที่มันท้าทายความสามารถของตนเองดู ท่านมีสิ่งใดแนะนำฤๅไม่"
B,"ลองไปปีนผาจำลอง หรือไม่ก็ไปวิ่งมาราธอนดูไหม มันน่าจะท้าทายดีนะ","จงลองไปปีนผาจำลอง หรือไม่ก็ไปวิ่งมาราธอนดูฤๅไม่ มันน่าจักท้าทายดีหนา"
A,"ก็น่าสนใจนะ ฉันไม่เคยทำกิจกรรมพวกนี้เลย เดี๋ยวจะลองหาข้อมูลดูนะ","ก็น่าสนใจหนา ข้าไม่เคยทำกิจกรรมพวกนี้เลย เดี๋ยวจักลองหาข้อมูลดูหนอ"
B,"ขอให้เธอสนุกกับการค้นพบสิ่งใหม่ๆ นะ","ขอให้ท่านสนุกสนานกับการค้นพบสิ่งใหม่ๆ หนอ"
A,"ฉันอยากจะลองฝึกทำขนมเค้กแบบต่างๆ เธอมีสูตรแนะนำไหม","ข้าอยากจักลองฝึกทำขนมเค้กแบบต่างๆ ท่านมีสูตรแนะนำฤๅไม่"
B,"ลองหาในอินเทอร์เน็ตดูสิ มีสูตรมากมายเลย หรือไม่ก็ลองซื้อหนังสือทำขนมมาอ่านดู","จงลองหาในอินเทอร์เน็ตดูสิ มีสูตรมากมายเลย หรือไม่ก็จงลองซื้อหนังสือทำขนมมาอ่านดู"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองไปหาดู ขอบคุณสำหรับคำแนะนำนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองไปหาดู ขอบใจสำหรับคำแนะนำหนอ"
B,"ถ้าทำแล้วก็เอามาให้ฉันชิมด้วยนะ","หากทำแล้วก็เอามาให้ข้าชิมด้วยหนา"
A,"ฉันอยากจะลองไปเที่ยวต่างประเทศสักครั้ง เธอเคยไปประเทศไหนแล้วชอบบ้างไหม","ข้าอยากจักลองไปเที่ยวต่างประเทศสักครา ท่านเคยไปประเทศไหนแล้วชอบบ้างฤๅไม่"
B,"ฉันเคยไปญี่ปุ่นมา ชอบบรรยากาศและวัฒนธรรมของที่นั่นมากๆ เลย","ข้าเคยไปญี่ปุ่นมา ชอบบรรยากาศและวัฒนธรรมของที่นั่นมากๆ เลย"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองหาข้อมูลเกี่ยวกับญี่ปุ่นดู ขอบคุณนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองหาข้อมูลเกี่ยวกับญี่ปุ่นดู ขอบใจหนอ"
B,"ถ้ามีอะไรให้ช่วยก็บอกได้เสมอนะ","หากมีสิ่งใดให้ช่วยก็บอกได้เสมอหนอ"
A,"ฉันอยากจะลองทำกิจกรรมจิตอาสาช่วยเหลือสัตว์ เธอพอจะมีที่แนะนำไหม","ข้าอยากจักลองทำกิจกรรมจิตอาสาช่วยเหลือสัตว์ ท่านพอมีที่แนะนำฤๅไม่"
B,"ลองติดต่อมูลนิธิที่ช่วยเหลือสัตว์จรจัดดูไหม พวกเขามักจะต้องการอาสาสมัครอยู่เสมอ","จงลองติดต่อมูลนิธิที่ช่วยเหลือสัตว์จรจัดดูฤๅไม่ พวกเขามักจักต้องการอาสาสมัครอยู่เสมอ"
A,"ขอบคุณมากๆ เลยนะ เดี๋ยวฉันจะลองติดต่อดูนะ","ขอบใจมากยิ่งนัก เดี๋ยวข้าจักลองติดต่อดูหนอ"
B,"ยินดีเสมอ ถ้ามีอะไรให้ช่วยก็บอกได้นะ","ยินดีเสมอ หากมีสิ่งใดให้ช่วยก็บอกได้หนอ"
A,"ฉันอยากจะลองเขียนนิยายสักเรื่อง เธอคิดว่าฉันควรจะเริ่มต้นจากตรงไหนดี","ข้าอยากจักลองเขียนนิยายสักเรื่อง ท่านคิดว่าข้าควรจักเริ่มต้นจากตรงไหนดี"
B,"ลองเริ่มจากการวางโครงเรื่องและตัวละครก่อนไหม แล้วค่อยๆ พัฒนาเนื้อเรื่องไปเรื่อยๆ","จงลองเริ่มจากการวางโครงเรื่องและตัวละครก่อนฤๅไม่ แล้วค่อยๆ พัฒนาเนื้อเรื่องไปเรื่อยๆ"
A,"ขอบคุณมากเลยนะสำหรับคำแนะนำ เดี๋ยวฉันจะลองทำตามดู","ขอบใจมากยิ่งนักสำหรับคำแนะนำ เดี๋ยวข้าจักลองทำตามดู"
B,"ขอให้เธอสนุกกับการเขียนนิยายนะ ฉันจะรออ่าน","ขอให้ท่านสนุกสนานกับการเขียนนิยายหนอ ข้าจักรออ่าน"
A,"ฉันอยากจะลองทำธุรกิจขายของออนไลน์ เธอมีประสบการณ์ด้านนี้บ้างไหม","ข้าอยากจักลองทำธุรกิจขายของออนไลน์ ท่านมีประสบการณ์ด้านนี้บ้างฤๅไม่"
B,"ฉันเคยขายของออนไลน์อยู่ช่วงหนึ่งนะ ลองศึกษาเรื่องการตลาดและการจัดการสต็อกสินค้าดู","ข้าเคยขายของออนไลน์อยู่ช่วงหนึ่งหนา จงลองศึกษาเรื่องการตลาดและการจัดการสต็อกสินค้าดู"
A,"ขอบคุณมากเลยนะ เดี๋ยวฉันจะลองศึกษาดูนะ","ขอบใจมากยิ่งนัก เดี๋ยวข้าจักลองศึกษาดูหนอ"
B,"ขอให้เธอประสบความสำเร็จกับการทำธุรกิจนะ","ขอให้ท่านประสบความสำเร็จกับการทำธุรกิจหนอ"
A,"ฉันอยากจะลองฝึกทำอาหารเพื่อสุขภาพ เธอมีสูตรอาหารแนะนำไหม","ข้าอยากจักลองฝึกทำอาหารเพื่อสุขภาพ ท่านมีสูตรอาหารแนะนำฤๅไม่"
B,"ลองหาในอินเทอร์เน็ตดู มีสูตรอาหารสุขภาพมากมายเลย หรือไม่ก็ลองซื้อหนังสือทำอาหารเพื่อสุขภาพมาอ่านดู","จงลองหาในอินเทอร์เน็ตดู มีสูตรอาหารสุขภาพมากมายเลย หรือไม่ก็จงลองซื้อหนังสือทำอาหารเพื่อสุขภาพมาอ่านดู"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองไปหาดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองไปหาดู ขอบใจมากหนอ"
B,"ถ้าทำแล้วก็เอามาให้ฉันชิมด้วยนะ","หากทำแล้วก็เอามาให้ข้าชิมด้วยหนา"
A,"ฉันอยากจะลองไปเที่ยวแบบแคมปิ้งในป่า เธอสนใจไปด้วยกันไหม","ข้าอยากจักลองไปเที่ยวแบบแคมปิ้งในป่า ท่านสนใจไปด้วยกันฤๅไม่"
B,"ฉันก็อยากไปสัมผัสธรรมชาติเหมือนกันนะ ถ้าเธอมีที่ไหนที่น่าสนใจ ก็บอกฉันได้เลย","เราก็อยากไปสัมผัสธรรมชาติเช่นกันหนา หากท่านมีที่ไหนที่น่าสนใจ ก็บอกข้าได้เลย"
A,"งั้นฉันจะลองหาข้อมูลดูนะ แล้วเรามาวางแผนกันว่าจะไปที่ไหนกันดี","หากเป็นเช่นนั้นข้าจักลองหาข้อมูลดูหนา แล้วเรามาวางแผนกันว่าจะไปที่ไหนกันดี"
B,"ตกลงเลย ฉันพร้อมที่จะไปผจญภัยกับเธอเสมอ","ตกลงเลย ข้าพร้อมที่จะไปผจญภัยกับท่านเสมอ"
A,"ฉันอยากจะลองเรียนภาษาที่สาม เธอคิดว่าฉันควรจะเริ่มจากภาษาอะไรดี","ข้าอยากจักลองศึกษาภาษาที่สาม ท่านคิดว่าข้าควรจักเริ่มจากภาษาอะไรดี"
B,"ลองดูภาษาเกาหลีไหม เพราะตอนนี้กำลังได้รับความนิยมมากเลย หรือไม่ก็ลองเรียนภาษาจีนก็ดีนะ","จงลองดูภาษาเกาหลีฤๅไม่ เพราะตอนนี้กำลังได้รับความนิยมมากเลย หรือไม่ก็จงลองศึกษาภาษาจีนก็ดีหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองหาข้อมูลดู ขอบคุณสำหรับคำแนะนำนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองหาข้อมูลดู ขอบใจสำหรับคำแนะนำหนอ"
B,"ถ้ามีอะไรให้ช่วยก็บอกได้เสมอนะ","หากมีสิ่งใดให้ช่วยก็บอกได้เสมอหนอ"
A,"ฉันอยากจะลองทำกิจกรรมที่มันแตกต่างไปจากเดิม เธอพอจะมีไอเดียไหม","ข้าอยากจักลองทำกิจกรรมที่มันแตกต่างไปจากเดิม ท่านพอมีไอเดียฤๅไม่"
B,"ลองไปเรียนเต้นแนวใหม่ๆ ไหม หรือไม่ก็ลองไปเข้าค่ายศิลปะดู","จงลองไปศึกษาเต้นแนวใหม่ๆ ฤๅไม่ หรือไม่ก็จงลองไปเข้าค่ายศิลปะดู"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองหาข้อมูลดูนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองหาข้อมูลดูหนอ"
B,"ขอให้เธอสนุกกับการค้นพบสิ่งใหม่ๆ นะ","ขอให้ท่านสนุกสนานกับการค้นพบสิ่งใหม่ๆ หนอ"
A,"ฉันอยากจะลองทำของแฮนด์เมดขาย เธอพอจะมีไอเดียอะไรบ้างไหม","ข้าอยากจักลองทำของแฮนด์เมดขาย ท่านพอมีไอเดียสิ่งใดบ้างฤๅไม่"
B,"ลองทำเครื่องประดับ หรือไม่ก็ลองทำของตกแต่งบ้านดูไหม พวกนี้มักจะขายได้ดีนะ","จงลองทำเครื่องประดับ หรือไม่ก็จงลองทำของตกแต่งเรือนดูฤๅไม่ พวกนี้มักจักขายได้ดีหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองไปศึกษาดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองไปศึกษาดู ขอบใจมากหนอ"
B,"ขอให้เธอประสบความสำเร็จกับการทำของแฮนด์เมดนะ","ขอให้ท่านประสบความสำเร็จกับการทำของแฮนด์เมดหนอ"
A,"ฉันอยากจะลองไปดูคอนเสิร์ตดนตรีแนวอินดี้ เธอสนใจไปด้วยกันไหม","ข้าอยากจักลองไปดูคอนเสิร์ตดนตรีแนวอินดี้ ท่านสนใจไปด้วยกันฤๅไม่"
B,"ฉันก็ชอบดนตรีแนวอินดี้เหมือนกันนะ ถ้าเธอมีวงที่ชอบ ก็บอกฉันได้เลย","เราก็ชอบดนตรีแนวอินดี้เช่นกันหนา หากท่านมีวงที่ชอบ ก็บอกข้าได้เลย"
A,"งั้นฉันจะลองหาข้อมูลดูนะ แล้วเรามาจองบัตรกัน","หากเป็นเช่นนั้นข้าจักลองหาข้อมูลดูหนา แล้วเรามาจองบัตรกัน"
B,"ตกลงเลย ฉันรอไปสนุกกับเธออยู่นะ","ตกลงเลย ข้ารอไปสนุกสนานกับท่านอยู่นะ"
A,"ฉันอยากจะลองไปเข้าค่ายฝึกสมาธิ เธอว่ามันจะช่วยให้ฉันสงบขึ้นได้ไหม","ข้าอยากจักลองไปเข้าค่ายฝึกสมาธิ ท่านว่ามันจักช่วยให้ข้าสงบขึ้นได้ฤๅไม่"
B,"ฉันว่ามันน่าจะช่วยได้นะ การฝึกสมาธิจะช่วยให้เรามีสติและผ่อนคลายมากขึ้น","เราว่ามันน่าจักช่วยได้หนา การฝึกสมาธิจักช่วยให้เรามีสติและผ่อนคลายมากขึ้น"
A,"งั้นฉันจะลองหาข้อมูลดูนะ ขอบคุณมากนะที่แนะนำ","หากเป็นเช่นนั้นข้าจักลองหาข้อมูลดูหนอ ขอบใจมากหนอที่แนะนำ"
B,"ขอให้เธอได้รับความสงบและผ่อนคลายนะ","ขอให้ท่านได้รับความสงบและผ่อนคลายหนอ"
A,"ฉันอยากจะลองไปดำน้ำดูสักครั้ง เธอคิดว่ามันจะน่ากลัวไหม","ข้าอยากจักลองไปดำน้ำดูสักครา ท่านคิดว่ามันจักน่ากลัวฤๅไม่"
B,"มันก็มีทั้งความตื่นเต้นและความท้าทายนะ ถ้าเธอมีครูฝึกที่ดีและปฏิบัติตามคำแนะนำ ก็ไม่น่าจะมีปัญหาอะไร","มันก็มีทั้งความตื่นเต้นและความท้าทายหนา หากท่านมีครูฝึกที่ดีและปฏิบัติตามคำแนะนำ ก็ไม่น่าจักมีปัญหาอะไร"
A,"งั้นฉันจะลองศึกษาข้อมูลและหาครูฝึกที่ดีก่อน ขอบคุณนะ","หากเป็นเช่นนั้นข้าจักลองศึกษาข้อมูลและหาครูฝึกที่ดีก่อน ขอบใจหนอ"
B,"ขอให้เธอสนุกกับการดำน้ำและได้เห็นโลกใต้ทะเลที่สวยงามนะ","ขอให้ท่านสนุกสนานกับการดำน้ำและได้เห็นโลกใต้ทะเลที่สวยงามหนอ"
A,"ฉันอยากจะลองไปเที่ยวแบบ Road Trip เธอพอจะมีเส้นทางแนะนำไหม","ข้าอยากจักลองไปเที่ยวแบบ Road Trip ท่านพอมีเส้นทางแนะนำฤๅไม่"
B,"ลองไปทางภาคเหนือไหม มีสถานที่ท่องเที่ยวสวยๆ เยอะแยะเลย หรือไม่ก็ลองไปทางใต้ก็ได้นะ","จงลองไปทางภาคเหนือฤๅไม่ มีสถานที่ท่องเที่ยวสวยๆ เยอะแยะเลย หรือไม่ก็จงลองไปทางใต้ก็ได้หนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองหาข้อมูลดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองหาข้อมูลดู ขอบใจมากหนอ"
B,"ขอให้เธอสนุกกับการเดินทางและได้พบเจอสิ่งใหม่ๆ นะ","ขอให้ท่านสนุกสนานกับการเดินทางและได้พบเจอสิ่งใหม่ๆ หนอ"
A,"ฉันอยากจะลองไปเรียนทำเซรามิก เธอคิดว่ามันจะยากไหม","ข้าอยากจักลองไปศึกษาทำเซรามิก ท่านคิดว่ามันจักยากฤๅไม่"
B,"มันก็ต้องใช้ความอดทนและความประณีตนะ แต่ถ้าเธอตั้งใจจริงก็ทำได้แน่นอน","มันก็ต้องใช้ความอดทนและความประณีตหนา แต่หากท่านตั้งใจจริงก็ทำได้แน่นอน"
A,"งั้นฉันจะลองหาข้อมูลคอร์สเรียนดูนะ ขอบคุณที่ให้กำลังใจนะ","หากเป็นเช่นนั้นข้าจักลองหาข้อมูลคอร์สศึกษาเรียนดูหนอ ขอบใจที่ให้กำลังใจหนอ"
B,"ขอให้เธอสนุกกับการทำเซรามิกและได้สร้างสรรค์ผลงานที่สวยงามนะ","ขอให้ท่านสนุกสนานกับการทำเซรามิกและได้สร้างสรรค์ผลงานที่สวยงามหนอ"
A,"ฉันอยากจะลองไปเข้าคลาสเรียนเต้นแบบฮิปฮอป เธอสนใจไปด้วยกันไหม","ข้าอยากจักลองไปเข้าคลาสศึกษาเต้นแบบฮิปฮอป ท่านสนใจไปด้วยกันฤๅไม่"
B,"ฉันก็อยากลองเรียนเต้นแนวฮิปฮอปเหมือนกันนะ ถ้าเธอมีคลาสเรียนที่น่าสนใจ ก็บอกฉันได้เลย","เราก็อยากลองศึกษาเต้นแนวฮิปฮอปเช่นกันหนา หากท่านมีคลาสศึกษาเรียนที่น่าสนใจ ก็บอกข้าได้เลย"
A,"งั้นฉันจะลองหาข้อมูลดูนะ แล้วเรามาสมัครเรียนด้วยกัน","หากเป็นเช่นนั้นข้าจักลองหาข้อมูลดูหนา แล้วเรามาสมัครศึกษาเรียนด้วยกัน"
B,"ตกลงเลย ฉันรอไปแดนซ์กับเธออยู่นะ","ตกลงเลย ข้ารอไปแดนซ์กับท่านอยู่นะ"
A,"ฉันอยากจะลองไปปีนผาจำลอง เธอว่ามันจะท้าทายไหม","ข้าอยากจักลองไปปีนผาจำลอง ท่านว่ามันจักท้าทายฤๅไม่"
B,"มันท้าทายแน่นอน แต่ถ้าเธอเตรียมตัวดีและมีครูฝึกคอยดูแล ก็ไม่น่าจะมีปัญหาอะไร","มันท้าทายแน่นอน แต่หากท่านเตรียมตัวดีและมีครูฝึกคอยดูแล ก็ไม่น่าจักมีปัญหาอะไร"
A,"งั้นฉันจะลองหาข้อมูลและเตรียมตัวให้ดีก่อน ขอบคุณนะ","หากเป็นเช่นนั้นข้าจักลองหาข้อมูลและเตรียมตัวให้ดีก่อน ขอบใจหนอ"
B,"ขอให้เธอสนุกกับการปีนผาและพิชิตความสูงนะ","ขอให้ท่านสนุกสนานกับการปีนผาและพิชิตความสูงหนอ"
A,"ฉันอยากจะลองไปเรียนทำเบเกอรี่ เธอมีร้านไหนแนะนำไหม","ข้าอยากจักลองไปศึกษาทำเบเกอรี่ ท่านมีร้านไหนแนะนำฤๅไม่"
B,"ลองดูร้านที่มีชื่อเสียงและมีคอร์สเรียนหลากหลายไหม จะได้มีตัวเลือกเยอะๆ","จงลองดูร้านที่มีชื่อเสียงและมีคอร์สศึกษาเรียนหลากหลายฤๅไม่ จะได้มีตัวเลือกเยอะๆ"
A,"ขอบคุณมากเลยนะ เดี๋ยวฉันจะลองหาข้อมูลดูนะ","ขอบใจมากยิ่งนัก เดี๋ยวข้าจักลองหาข้อมูลดูหนอ"
B,"ขอให้เธอสนุกกับการทำขนมและได้สร้างสรรค์เค้กที่อร่อยๆ นะ","ขอให้ท่านสนุกสนานกับการทำขนมและได้สร้างสรรค์เค้กที่อร่อยๆ หนอ"
A,"ฉันอยากจะลองไปเข้าค่ายอาสาช่วยเหลือเด็ก เธอสนใจไปด้วยกันไหม","ข้าอยากจักลองไปเข้าค่ายอาสาช่วยเหลือเด็ก ท่านสนใจไปด้วยกันฤๅไม่"
B,"ฉันก็อยากทำอะไรเพื่อสังคมเหมือนกันนะ ถ้าเธอมีโครงการที่น่าสนใจ ก็บอกฉันได้เลย","เราก็อยากทำสิ่งใดเพื่อสังคมเช่นกันหนา หากท่านมีโครงการที่น่าสนใจ ก็บอกข้าได้เลย"
A,"งั้นฉันจะลองหาข้อมูลดูนะ แล้วเรามาคุยกันอีกทีว่าจะไปทำอะไรกันดี","หากเป็นเช่นนั้นข้าจักลองหาข้อมูลดูหนา แล้วเรามาสนทนากันอีกคราว่าจะไปทำสิ่งใดกันดี"
B,"ตกลงเลย ฉันพร้อมที่จะช่วยเหลือเต็มที่เสมอ","ตกลงเลย ข้าพร้อมที่จะช่วยเหลือเต็มที่เสมอ"
A,"ฉันอยากจะลองไปเรียนทำกาแฟ เธอมีที่เรียนแนะนำไหม","ข้าอยากจักลองไปศึกษาทำกาแฟ ท่านมีที่ศึกษาเรียนแนะนำฤๅไม่"
B,"ลองดูร้านกาแฟที่เขามีคอร์สสอนไหม หรือไม่ก็ลองดูโรงเรียนสอนทำกาแฟโดยเฉพาะ","จงลองดูร้านกาแฟที่เขามีคอร์สสอนฤๅไม่ หรือไม่ก็จงลองดูโรงเรียนสอนทำกาแฟโดยเฉพาะ"
