Speaker,Modern Thai,Thai Boran
B,"ลองทำกิจกรรมที่ผ่อนคลายก่อนนอน เช่น อ่านหนังสือ หรือฟังเพลงเบาๆ แล้วก็งดเล่นโทรศัพท์ก่อนนอน มันอาจจะช่วยได้","จงทำกิจกรรมที่ผ่อนคลายก่อนนอน เช่น อ่านหนังสือ หรือฟังเพลงเบาๆ แล้วก็งดเล่นโทรศัพท์ก่อนนอน มันอาจจักช่วยได้"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอนอนหลับสบายนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านนอนหลับสบายหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองเครียดกับงานมากเลย เธอมีวิธีจัดการยังไงบ้างไหม","ข้ารู้สึกว่าตนเองเครียดกับงานมากยิ่งนัก ท่านมีวิธีจัดการฉันใดบ้างฤๅไม่"
B,"ฉันใช้วิธีแบ่งงานเป็นส่วนๆ แล้วก็ทำทีละส่วน แล้วก็หาเวลาพักผ่อนบ้าง มันช่วยลดความเครียดได้เยอะเลย","ข้าใช้วิธีแบ่งงานเป็นส่วนๆ แล้วก็ทำทีละส่วน แล้วก็หาเวลาพักผ่อนบ้าง มันช่วยลดความเครียดได้เยอะเลย"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองเอาไปปรับใช้ดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองเอาไปปรับใช้ดู ขอบใจมากหนอ"
B,"ไม่เป็นไรเลย ลองดูนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","มิเป็นไรเลย จงลองดูหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีเพื่อนเลย เธอพอจะมีวิธีทำให้มีเพื่อนมากขึ้นไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีสหายเลย ท่านพอมีวิธีทำให้มีสหายมากขึ้นฤๅไม่"
B,"ลองหากิจกรรมที่ชอบทำ แล้วไปทำกับคนอื่นๆ ดูไหม มันจะช่วยให้เราได้รู้จักเพื่อนใหม่ๆ ได้","จงหากิจกรรมที่ชอบทำ แล้วไปทำกับคนอื่นๆ ดูฤๅไม่ มันจักช่วยให้เราได้รู้จักสหายใหม่ๆ ได้"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอได้มีเพื่อนเยอะๆ นะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านได้มีสหายเยอะๆ หนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่มีเวลาทำสิ่งที่ชอบเลย เธอมีวิธีจัดการยังไงบ้างไหม","ข้ารู้สึกว่าตนเองไม่มีเวลาทำสิ่งที่ชอบเลย ท่านมีวิธีจัดการฉันใดบ้างฤๅไม่"
B,"ฉันใช้วิธีจัดตารางเวลาให้ดี แล้วก็กันเวลาไว้ทำสิ่งที่ชอบบ้าง มันช่วยให้ชีวิตมีความสุขมากขึ้นนะ","ข้าใช้วิธีจัดตารางเวลาให้ดี แล้วก็กันเวลาไว้ทำสิ่งที่ชอบบ้าง มันช่วยให้ชีวิตมีความสุขมากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองเอาไปปรับใช้ดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองเอาไปปรับใช้ดู ขอบใจมากหนอ"
B,"ไม่เป็นไรเลย ลองดูนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","มิเป็นไรเลย จงลองดูหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีเป้าหมายในชีวิตเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีเป้าหมายในชีวิตเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองคิดดูว่าอะไรคือสิ่งที่เธออยากทำจริงๆ แล้วก็ตั้งเป้าหมายเล็กๆ ไว้ แล้วค่อยๆ ทำให้มันเป็นจริง","จงคิดดูว่าสิ่งใดคือสิ่งที่ท่านอยากทำจริงๆ แล้วก็ตั้งเป้าหมายเล็กๆ ไว้ แล้วค่อยๆ ทำให้มันเป็นจริง"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอได้พบเป้าหมายในชีวิตนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านได้พบเป้าหมายในชีวิตหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีทักษะในการสื่อสารเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีทักษะในการสื่อสารเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองฝึกพูดต่อหน้าคนอื่นบ่อยๆ แล้วก็พยายามฟังคนอื่นให้มากขึ้น มันจะช่วยให้การสื่อสารดีขึ้นนะ","จงฝึกพูดต่อหน้าคนอื่นบ่อยๆ แล้วก็พยายามฟังคนอื่นให้มากขึ้น มันจักช่วยให้การสื่อสารดีขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีทักษะในการสื่อสารที่ดีขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีทักษะในการสื่อสารที่ดีขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีความคิดสร้างสรรค์เลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีความคิดสร้างสรรค์เลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองหากิจกรรมที่กระตุ้นความคิดสร้างสรรค์ทำดูไหม เช่น วาดรูป เขียนหนังสือ หรือทำอาหาร มันจะช่วยให้เรามีความคิดสร้างสรรค์มากขึ้นนะ","จงหากิจกรรมที่กระตุ้นความคิดสร้างสรรค์ทำดูฤๅไม่ เช่น วาดรูป เขียนหนังสือ หรือทำอาหาร มันจักช่วยให้เรามีความคิดสร้างสรรค์มากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีความคิดสร้างสรรค์มากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีความคิดสร้างสรรค์มากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีความรู้รอบตัวเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีความรู้รอบตัวเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองอ่านหนังสือ ดูสารคดี หรือติดตามข่าวสารบ้าง มันจะช่วยให้เรามีความรู้รอบตัวมากขึ้นนะ","จงอ่านหนังสือ ดูสารคดี หรือติดตามข่าวสารบ้าง มันจักช่วยให้เรามีความรู้รอบตัวมากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีความรู้รอบตัวมากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีความรู้รอบตัวมากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีความอดทนเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีความอดทนเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองตั้งเป้าหมายเล็กๆ ไว้ แล้วพยายามทำให้มันสำเร็จ มันจะช่วยให้เรามีความอดทนมากขึ้นนะ","จงตั้งเป้าหมายเล็กๆ ไว้ แล้วพยายามทำให้มันสำเร็จ มันจักช่วยให้เรามีความอดทนมากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีความอดทนมากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีความอดทนมากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีความรับผิดชอบเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีความรับผิดชอบเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองทำอะไรที่ได้รับมอบหมายให้เสร็จตามเวลา แล้วก็พยายามทำในสิ่งที่ควรทำ มันจะช่วยให้เรามีความรับผิดชอบมากขึ้นนะ","จงทำสิ่งใดที่ได้รับมอบหมายให้เสร็จตามเวลา แล้วก็พยายามทำในสิ่งที่ควรทำ มันจักช่วยให้เรามีความรับผิดชอบมากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีความรับผิดชอบมากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีความรับผิดชอบมากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีน้ำใจเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีน้ำใจเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองช่วยเหลือคนอื่นบ้าง แล้วก็พยายามมองคนอื่นในแง่ดี มันจะช่วยให้เรามีน้ำใจมากขึ้นนะ","จงช่วยเหลือคนอื่นบ้าง แล้วก็พยายามมองคนอื่นในแง่ดี มันจักช่วยให้เรามีน้ำใจมากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีน้ำใจมากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีน้ำใจมากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีเหตุผลเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีเหตุผลเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองคิดวิเคราะห์เหตุผลของสิ่งต่างๆ ดู แล้วก็พยายามรับฟังความคิดเห็นของคนอื่นบ้าง มันจะช่วยให้เรามีเหตุผลมากขึ้นนะ","จงคิดวิเคราะห์เหตุผลของสิ่งต่างๆ ดู แล้วก็พยายามรับฟังความคิดเห็นของคนอื่นบ้าง มันจักช่วยให้เรามีเหตุผลมากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีเหตุผลมากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีเหตุผลมากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีสติเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีสติเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองทำสมาธิบ้าง แล้วก็พยายามมีสติอยู่กับปัจจุบัน มันจะช่วยให้เรามีสติมากขึ้นนะ","จงทำสมาธิบ้าง แล้วก็พยายามมีสติอยู่กับปัจจุบัน มันจักช่วยให้เรามีสติมากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีสติมากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีสติมากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีระเบียบวินัยเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีระเบียบวินัยเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองตั้งกฎเกณฑ์ให้ตัวเอง แล้วก็พยายามทำตามมัน มันจะช่วยให้เรามีระเบียบวินัยมากขึ้นนะ","จงตั้งกฎเกณฑ์ให้ตนเอง แล้วก็พยายามทำตามมัน มันจักช่วยให้เรามีระเบียบวินัยมากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีระเบียบวินัยมากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีระเบียบวินัยมากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีอารมณ์ขันเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีอารมณ์ขันเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองดูหนังตลก อ่านการ์ตูน หรือฟังเรื่องตลกบ้าง มันจะช่วยให้เรามีอารมณ์ขันมากขึ้นนะ","จงดูหนังตลก อ่านการ์ตูน หรือฟังเรื่องตลกบ้าง มันจักช่วยให้เรามีอารมณ์ขันมากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีอารมณ์ขันมากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีอารมณ์ขันมากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีความคิดริเริ่มเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีความคิดริเริ่มเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองหาอะไรใหม่ๆ ทำดูไหม หรือไม่ก็ลองตั้งคำถามกับสิ่งต่างๆ ดู มันจะช่วยให้เรามีความคิดริเริ่มมากขึ้นนะ","จงหาอะไรใหม่ๆ ทำดูฤๅไม่ หรือไม่ก็จงตั้งคำถามกับสิ่งต่างๆ ดู มันจักช่วยให้เรามีความคิดริเริ่มมากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีความคิดริเริ่มมากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีความคิดริเริ่มมากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยเปิดใจเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยเปิดใจเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองรับฟังความคิดเห็นของคนอื่นบ้าง แล้วก็พยายามเปิดใจกับสิ่งใหม่ๆ มันจะช่วยให้เราเปิดใจมากขึ้นนะ","จงรับฟังความคิดเห็นของคนอื่นบ้าง แล้วก็พยายามเปิดใจกับสิ่งใหม่ๆ มันจักช่วยให้เราเปิดใจมากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอเปิดใจมากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านเปิดใจมากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีความยืดหยุ่นเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีความยืดหยุ่นเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองปล่อยวางกับสิ่งต่างๆ บ้าง แล้วก็พยายามปรับตัวเข้ากับสถานการณ์ต่างๆ มันจะช่วยให้เรามีความยืดหยุ่นมากขึ้นนะ","จงปล่อยวางกับสิ่งต่างๆ บ้าง แล้วก็พยายามปรับตัวเข้ากับสถานการณ์ต่างๆ มันจักช่วยให้เรามีความยืดหยุ่นมากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีความยืดหยุ่นมากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีความยืดหยุ่นมากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยกล้าตัดสินใจเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยกล้าตัดสินใจเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองตัดสินใจในเรื่องเล็กๆ ก่อน แล้วค่อยๆ เพิ่มระดับความยากขึ้น มันจะช่วยให้เรากล้าตัดสินใจมากขึ้นนะ","จงตัดสินใจในเรื่องเล็กๆ ก่อน แล้วค่อยๆ เพิ่มระดับความยากขึ้น มันจักช่วยให้เรากล้าตัดสินใจมากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีความกล้าตัดสินใจมากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีความกล้าตัดสินใจมากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยกล้าแสดงออกเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยกล้าแสดงออกเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองแสดงความคิดเห็นของตัวเองบ้าง แล้วก็พยายามทำในสิ่งที่อยากทำ มันจะช่วยให้เรากล้าแสดงออกมากขึ้นนะ","จงแสดงความคิดเห็นของตนเองบ้าง แล้วก็พยายามทำในสิ่งที่อยากทำ มันจักช่วยให้เรากล้าแสดงออกมากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีความกล้าแสดงออกมากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีความกล้าแสดงออกมากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีจิตใจเข้มแข็งเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีจิตใจเข้มแข็งเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองเผชิญหน้ากับปัญหาต่างๆ ดู แล้วก็พยายามก้าวข้ามมันไป มันจะช่วยให้เรามีจิตใจเข้มแข็งมากขึ้นนะ","จงเผชิญหน้ากับปัญหาต่างๆ ดู แล้วก็พยายามก้าวข้ามมันไป มันจักช่วยให้เรามีจิตใจเข้มแข็งมากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีจิตใจเข้มแข็งมากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีจิตใจเข้มแข็งมากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีสมาธิในการอ่านหนังสือเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีสมาธิในการอ่านหนังสือเลย ท่านพอมีวิธีช่วยฤๅไม่"
