Speaker,Modern Thai,Thai Boran
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีความยืดหยุ่นในการทำงานเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีความยืดหยุ่นในการทำงานเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองเปิดใจรับฟังความคิดเห็นของคนอื่น แล้วก็พยายามปรับตัวเข้ากับสถานการณ์ต่างๆ มันจะช่วยให้มีความยืดหยุ่นในการทำงานมากขึ้นนะ","จงเปิดใจรับฟังความคิดเห็นของคนอื่น แล้วก็พยายามปรับตัวเข้ากับสถานการณ์ต่างๆ มันจักช่วยให้มีความยืดหยุ่นในการทำงานมากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีความยืดหยุ่นในการทำงานมากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีความยืดหยุ่นในการทำงานมากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีความคิดสร้างสรรค์ในการทำงานเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีความคิดสร้างสรรค์ในการทำงานเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองมองหาไอเดียใหม่ๆ จากสิ่งรอบตัว แล้วก็พยายามคิดนอกกรอบ มันจะช่วยให้มีความคิดสร้างสรรค์ในการทำงานมากขึ้นนะ","จงมองหาไอเดียใหม่ๆ จากสิ่งรอบตัว แล้วก็พยายามคิดนอกกรอบ มันจักช่วยให้มีความคิดสร้างสรรค์ในการทำงานมากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีความคิดสร้างสรรค์ในการทำงานมากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีความคิดสร้างสรรค์ในการทำงานมากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีความเป็นผู้นำเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีความเป็นผู้นำเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองแสดงความเห็นของตัวเองอย่างมั่นใจ แล้วก็พยายามเป็นแบบอย่างที่ดีให้คนอื่น มันจะช่วยให้มีความเป็นผู้นำมากขึ้นนะ","จงแสดงความเห็นของตนเองอย่างมั่นใจ แล้วก็พยายามเป็นแบบอย่างที่ดีให้คนอื่น มันจักช่วยให้มีความเป็นผู้นำมากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีความเป็นผู้นำมากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีความเป็นผู้นำมากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีทักษะในการเจรจาต่อรองเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีทักษะในการเจรจาต่อรองเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองฝึกพูดให้ชัดเจน แล้วก็พยายามเข้าใจมุมมองของคนอื่น มันจะช่วยให้มีทักษะในการเจรจาต่อรองมากขึ้นนะ","จงฝึกพูดให้ชัดเจน แล้วก็พยายามเข้าใจมุมมองของคนอื่น มันจักช่วยให้มีทักษะในการเจรจาต่อรองมากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีทักษะในการเจรจาต่อรองที่ดีขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีทักษะในการเจรจาต่อรองที่ดีขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีทักษะในการบริหารเวลาเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีทักษะในการบริหารเวลาเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองจัดตารางเวลาให้ชัดเจน แล้วก็พยายามทำตามตารางที่วางไว้ มันจะช่วยให้บริหารเวลาได้ดีขึ้นนะ","จงจัดตารางเวลาให้ชัดเจน แล้วก็พยายามทำตามตารางที่วางไว้ มันจักช่วยให้บริหารเวลาได้ดีขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีทักษะในการบริหารเวลาที่ดีขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีทักษะในการบริหารเวลาที่ดีขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีทักษะในการสร้างความสัมพันธ์เลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีทักษะในการสร้างความสัมพันธ์เลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองทำความรู้จักกับคนใหม่ๆ แล้วก็พยายามใส่ใจความรู้สึกของคนอื่น มันจะช่วยให้มีทักษะในการสร้างความสัมพันธ์มากขึ้นนะ","จงทำความรู้จักกับคนใหม่ๆ แล้วก็พยายามใส่ใจความรู้สึกของคนอื่น มันจักช่วยให้มีทักษะในการสร้างความสัมพันธ์มากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีทักษะในการสร้างความสัมพันธ์ที่ดีขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีทักษะในการสร้างความสัมพันธ์ที่ดีขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีทักษะในการใช้ภาษาเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีทักษะในการใช้ภาษาเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองอ่านหนังสือ เขียนบทความ หรือฝึกพูดบ่อยๆ มันจะช่วยให้มีทักษะในการใช้ภาษาดีขึ้นนะ","จงอ่านหนังสือ เขียนบทความ หรือฝึกพูดบ่อยๆ มันจักช่วยให้มีทักษะในการใช้ภาษาดีขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีทักษะในการใช้ภาษาที่ดีขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีทักษะในการใช้ภาษาที่ดีขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีทักษะในการใช้เทคโนโลยีเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีทักษะในการใช้เทคโนโลยีเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองศึกษาเทคโนโลยีใหม่ๆ แล้วก็พยายามใช้งานมันบ่อยๆ มันจะช่วยให้มีทักษะในการใช้เทคโนโลยีดีขึ้นนะ","จงศึกษาเทคโนโลยีใหม่ๆ แล้วก็พยายามใช้งานมันบ่อยๆ มันจักช่วยให้มีทักษะในการใช้เทคโนโลยีดีขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีทักษะในการใช้เทคโนโลยีที่ดีขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีทักษะในการใช้เทคโนโลยีที่ดีขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีความรู้ด้านการเงินเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีความรู้ด้านการเงินเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองอ่านหนังสือเกี่ยวกับการเงิน หรือไม่ก็ลองหาคอร์สเรียนดู มันจะช่วยให้มีความรู้ด้านการเงินมากขึ้นนะ","จงอ่านหนังสือเกี่ยวกับการเงิน หรือไม่ก็จงหาคอร์สศึกษาเรียนดู มันจักช่วยให้มีความรู้ด้านการเงินมากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีความรู้ด้านการเงินมากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีความรู้ด้านการเงินมากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีความรู้ด้านกฎหมายเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีความรู้ด้านกฎหมายเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองอ่านหนังสือเกี่ยวกับกฎหมาย หรือไม่ก็ลองหาที่ปรึกษาด้านกฎหมายดู มันจะช่วยให้มีความรู้ด้านกฎหมายมากขึ้นนะ","จงอ่านหนังสือเกี่ยวกับกฎหมาย หรือไม่ก็จงหาที่ปรึกษาด้านกฎหมายดู มันจักช่วยให้มีความรู้ด้านกฎหมายมากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีความรู้ด้านกฎหมายมากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีความรู้ด้านกฎหมายมากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีความรู้ด้านสุขภาพเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีความรู้ด้านสุขภาพเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองอ่านหนังสือเกี่ยวกับสุขภาพ หรือไม่ก็ลองปรึกษาแพทย์ดู มันจะช่วยให้มีความรู้ด้านสุขภาพมากขึ้นนะ","จงอ่านหนังสือเกี่ยวกับสุขภาพ หรือไม่ก็จงปรึกษาแพทย์ดู มันจักช่วยให้มีความรู้ด้านสุขภาพมากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีความรู้ด้านสุขภาพมากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีความรู้ด้านสุขภาพมากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีความรู้ด้านประวัติศาสตร์เลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีความรู้ด้านประวัติศาสตร์เลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองอ่านหนังสือเกี่ยวกับประวัติศาสตร์ หรือไม่ก็ลองไปเที่ยวชมสถานที่ทางประวัติศาสตร์ดู มันจะช่วยให้มีความรู้ด้านประวัติศาสตร์มากขึ้นนะ","จงอ่านหนังสือเกี่ยวกับประวัติศาสตร์ หรือไม่ก็จงไปเที่ยวชมสถานที่ทางประวัติศาสตร์ดู มันจักช่วยให้มีความรู้ด้านประวัติศาสตร์มากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีความรู้ด้านประวัติศาสตร์มากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีความรู้ด้านประวัติศาสตร์มากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีความรู้ด้านภูมิศาสตร์เลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีความรู้ด้านภูมิศาสตร์เลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองอ่านหนังสือเกี่ยวกับภูมิศาสตร์ หรือไม่ก็ลองดูแผนที่โลกดู มันจะช่วยให้มีความรู้ด้านภูมิศาสตร์มากขึ้นนะ","จงอ่านหนังสือเกี่ยวกับภูมิศาสตร์ หรือไม่ก็จงดูแผนที่โลกดู มันจักช่วยให้มีความรู้ด้านภูมิศาสตร์มากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีความรู้ด้านภูมิศาสตร์มากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีความรู้ด้านภูมิศาสตร์มากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีความรู้ด้านวิทยาศาสตร์เลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีความรู้ด้านวิทยาศาสตร์เลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองอ่านหนังสือเกี่ยวกับวิทยาศาสตร์ หรือไม่ก็ลองดูสารคดีวิทยาศาสตร์ดู มันจะช่วยให้มีความรู้ด้านวิทยาศาสตร์มากขึ้นนะ","จงอ่านหนังสือเกี่ยวกับวิทยาศาสตร์ หรือไม่ก็จงดูสารคดีวิทยาศาสตร์ดู มันจักช่วยให้มีความรู้ด้านวิทยาศาสตร์มากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีความรู้ด้านวิทยาศาสตร์มากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีความรู้ด้านวิทยาศาสตร์มากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีความรู้ด้านศิลปะเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีความรู้ด้านศิลปะเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองอ่านหนังสือเกี่ยวกับศิลปะ หรือไม่ก็ลองไปชมพิพิธภัณฑ์ศิลปะดู มันจะช่วยให้มีความรู้ด้านศิลปะมากขึ้นนะ","จงอ่านหนังสือเกี่ยวกับศิลปะ หรือไม่ก็จงไปชมพิพิธภัณฑ์ศิลปะดู มันจักช่วยให้มีความรู้ด้านศิลปะมากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีความรู้ด้านศิลปะมากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีความรู้ด้านศิลปะมากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีความรู้ด้านดนตรีเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีความรู้ด้านดนตรีเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองฟังเพลงหลากหลายแนว หรือไม่ก็ลองเรียนดนตรีดู มันจะช่วยให้มีความรู้ด้านดนตรีมากขึ้นนะ","จงฟังเพลงหลากหลายแนว หรือไม่ก็จงศึกษาเรียนดนตรีดู มันจักช่วยให้มีความรู้ด้านดนตรีมากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีความรู้ด้านดนตรีมากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีความรู้ด้านดนตรีมากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีความรู้ด้านการทำอาหารเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีความรู้ด้านการทำอาหารเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองอ่านหนังสือเกี่ยวกับการทำอาหาร หรือไม่ก็ลองเข้าคอร์สเรียนทำอาหารดู มันจะช่วยให้มีความรู้ด้านการทำอาหารมากขึ้นนะ","จงอ่านหนังสือเกี่ยวกับการทำอาหาร หรือไม่ก็จงเข้าคอร์สศึกษาเรียนทำอาหารดู มันจักช่วยให้มีความรู้ด้านการทำอาหารมากขึ้นหนา"
