Speaker,Modern Thai,Thai Boran
A,"เมื่อฉันได้อยู่ใกล้เธอ ฉันรู้สึกเหมือนว่าโลกทั้งใบมันหยุดหมุน ฉันไม่อยากให้ช่วงเวลานี้มันผ่านไปเลย ฉันอยากจะหยุดเวลาไว้ตรงนี้","เมื่อข้าได้อยู่ใกล้ท่าน ข้ารู้สึกเหมือนว่าโลกทั้งใบมันหยุดหมุน ข้าไม่อยากให้ช่วงเวลานี้มันผ่านไปเลย ข้าอยากจักหยุดเวลาไว้ตรงนี้"
B,"ฉันก็รู้สึกเหมือนกันนะ ที่รัก เวลาที่ฉันได้อยู่กับเธอ ฉันรู้สึกว่าทุกอย่างรอบตัวมันเงียบสงบ และฉันก็อยากจะใช้เวลาอยู่กับเธอให้นานๆ เหมือนกัน","ข้าก็รู้สึกเช่นกันหนา ที่รัก เวลาที่ข้าได้อยู่กับท่าน ข้ารู้สึกว่าทุกอย่างรอบตัวมันเงียบสงบ และข้าก็อยากจักใช้เวลาอยู่กับท่านให้นานๆ เช่นกัน"
A,"ฉันอยากจะบอกเธอว่าทุกๆ การกระทำของเธอ มันทำให้ฉันรักเธอมากขึ้นทุกวัน และฉันอยากจะใช้ชีวิตที่เหลืออยู่กับเธอเพียงคนเดียว","ข้าอยากจักบอกท่านว่าทุกๆ การกระทำของท่าน มันทำให้ข้ารักท่านมากขึ้นทุกวัน และข้าอยากจักใช้ชีวิตที่เหลืออยู่กับท่านเพียงผู้เดียว"
B,"ฉันก็อยากจะบอกเธอเหมือนกันนะ ที่รัก ว่าทุกๆ ครั้งที่ฉันได้เห็นเธอ ฉันก็รู้สึกว่าฉันรักเธอมากขึ้นทุกวัน และฉันก็อยากจะใช้ชีวิตที่เหลืออยู่กับเธอเพียงคนเดียวเหมือนกัน","ข้าก็อยากจักบอกท่านเช่นกันหนา ที่รัก ว่าทุกๆ ครั้งที่ข้าได้เห็นท่าน ข้าก็รู้สึกว่าข้ารักท่านมากขึ้นทุกวัน และข้าก็อยากจักใช้ชีวิตที่เหลืออยู่กับท่านเพียงผู้เดียวเช่นกัน"
A,"ฉันอยากจะให้เธอรู้ว่าเธอเป็นคนที่ฉันไว้ใจมากที่สุด และฉันสามารถที่จะเปิดเผยทุกสิ่งทุกอย่างกับเธอได้โดยที่ไม่ต้องกังวลอะไร","ข้าอยากจักให้ท่านรู้ว่าท่านเป็นคนที่ข้าไว้ใจมากที่สุด และข้าสามารถที่จะเปิดเผยทุกสิ่งทุกอย่างกับท่านได้โดยที่ไม่ต้องกังวลสิ่งใด"
B,"ฉันก็อยากจะบอกเธอเหมือนกันนะ ที่รัก ว่าเธอเป็นคนที่ฉันไว้ใจที่สุด และฉันก็รู้สึกสบายใจที่จะเล่าทุกสิ่งทุกอย่างให้เธอฟัง เพราะฉันรู้ว่าเธอจะเข้าใจฉันเสมอ","ข้าก็อยากจักบอกท่านเช่นกันหนา ที่รัก ว่าท่านเป็นคนที่ข้าไว้ใจที่สุด และข้าก็รู้สึกสบายใจที่จะเล่าทุกสิ่งทุกอย่างให้ท่านฟัง เพราะข้ารู้ว่าท่านจักเข้าใจข้าเสมอ"
A,"ฉันอยากจะขอโทษเธอสำหรับทุกๆ ครั้งที่ฉันทำผิดพลาด และฉันอยากจะขอบคุณเธอสำหรับทุกๆ ครั้งที่เธอให้อภัยฉัน","ข้าอยากจักขอโทษท่านสำหรับทุกๆ ครั้งที่ข้าทำผิดพลาด และข้าอยากจักขอบคุณท่านสำหรับทุกๆ ครั้งที่ท่านให้อภัยข้า"
B,"ไม่เป็นไรเลยนะ ที่รัก ฉันเองก็อยากจะขอโทษเธอเหมือนกันสำหรับทุกๆ ครั้งที่ฉันทำให้เธอเสียใจ และฉันก็อยากจะขอบคุณเธอที่เธอยังคงรักและเข้าใจฉันเสมอ","มิเป็นไรเลยหนา ที่รัก ข้าเองก็อยากจักขอโทษท่านเช่นกันสำหรับทุกๆ ครั้งที่ข้าทำให้ท่านเสียใจ และข้าก็อยากจักขอบคุณท่านที่ท่านยังคงรักและเข้าใจข้าเสมอ"
A,"ฉันอยากจะให้เธอรู้ว่าความรักของฉันที่มีต่อเธอ มันไม่เคยลดน้อยลงเลย มีแต่จะเพิ่มมากขึ้นทุกวัน และฉันก็จะรักเธอแบบนี้ตลอดไป","ข้าอยากจักให้ท่านรู้ว่าความรักของข้าที่มีต่อท่าน มันไม่เคยลดน้อยลงเลย มีแต่จักเพิ่มมากขึ้นทุกวัน และข้าจักรักท่านแบบนี้ตลอดไป"
B,"ฉันก็อยากจะให้เธอรู้เหมือนกันนะ ที่รัก ว่าความรักของฉันที่มีต่อเธอ มันก็มีแต่จะเพิ่มมากขึ้นทุกวัน และฉันก็จะรักเธอแบบนี้ไปตลอดชีวิตเหมือนกัน","ข้าก็อยากจักให้ท่านรู้เช่นกันหนา ที่รัก ว่าความรักของข้าที่มีต่อท่าน มันก็มีแต่จักเพิ่มมากขึ้นทุกวัน และข้าจักรักท่านแบบนี้ไปตลอดชีวิตเช่นกัน"
A,"ฉันอยากจะใช้เวลาที่เหลืออยู่กับเธอให้มากที่สุด อยากจะเดินทางไปในที่ต่างๆ ด้วยกัน อยากจะทำกิจกรรมสนุกๆ ด้วยกัน อยากจะสร้างความทรงจำดีๆ ไปด้วยกัน","ข้าอยากจักใช้เวลาที่เหลืออยู่กับท่านให้มากที่สุด อยากจักเดินทางไปในที่ต่างๆ ด้วยกัน อยากจักทำกิจกรรมสนุกๆ ด้วยกัน อยากจักสร้างความทรงจำดีๆ ไปด้วยกัน"
B,"ฉันก็อยากจะทำแบบนั้นเหมือนกันนะ ที่รัก อยากจะใช้ชีวิตร่วมกับเธออย่างเต็มที่ อยากจะไปผจญภัยในโลกกว้างด้วยกัน และอยากจะสร้างเรื่องราวที่น่าจดจำไปด้วยกัน","ข้าก็อยากจักทำแบบนั้นเช่นกันหนา ที่รัก อยากจักใช้ชีวิตร่วมกับท่านอย่างเต็มที่ อยากจักไปผจญภัยในโลกกว้างด้วยกัน และอยากจักสร้างเรื่องราวที่น่าจดจำไปด้วยกัน"
A,"ฉันอยากจะบอกเธอว่าเธอเป็นคนสำคัญที่สุดในชีวิตของฉัน และฉันไม่อยากจะเสียเธอไปเลย ฉันอยากจะอยู่กับเธอไปจนวันสุดท้ายของชีวิต","ข้าอยากจักบอกท่านว่าท่านเป็นคนสำคัญที่สุดในชีวิตของข้า และข้าไม่อยากจักเสียท่านไปเลย ข้าอยากจักอยู่กับท่านไปจนวันสุดท้ายของชีวิต"
B,"ฉันก็อยากจะบอกเธอเหมือนกันนะ ที่รัก ว่าเธอเป็นคนที่สำคัญที่สุดสำหรับฉัน และฉันก็ไม่อยากจะเสียเธอไปเหมือนกัน ฉันอยากจะใช้ชีวิตที่เหลืออยู่กับเธอไปตลอดชีวิต","ข้าก็อยากจักบอกท่านเช่นกันหนา ที่รัก ว่าท่านเป็นคนที่สำคัญที่สุดสำหรับข้า และข้าก็ไม่อยากจักเสียท่านไปเช่นกัน ข้าอยากจักใช้ชีวิตที่เหลืออยู่กับท่านไปตลอดชีวิต"
A,"ฉันอยากจะขอบคุณเธอที่เธอรักฉันในแบบที่ฉันเป็น และยอมรับในทุกๆ ข้อเสียของฉัน ฉันสัญญาว่าจะพยายามเป็นคนที่ดีขึ้นเพื่อเธอ","ข้าอยากจักขอบคุณท่านที่ท่านรักข้าในแบบที่ข้าเป็น และยอมรับในทุกๆ ข้อเสียของข้า ข้าสัญญาจักพยายามเป็นคนที่ดีขึ้นเพื่อท่าน"
B,"ฉันก็อยากจะขอบคุณเธอเหมือนกันนะ ที่เธอรักฉันในแบบที่ฉันเป็น และเข้าใจในทุกๆ เรื่องของฉัน ฉันก็จะพยายามเป็นคนที่ดีขึ้นเพื่อความรักของเราเหมือนกัน","ข้าก็อยากจักขอบคุณท่านเช่นกันหนา ที่ท่านรักข้าในแบบที่ข้าเป็น และเข้าใจในทุกๆ เรื่องของข้า ข้าก็จะพยายามเป็นคนที่ดีขึ้นเพื่อความรักของเราเช่นกัน"
A,"ฉันอยากจะให้เธอรู้ว่าเธอคือความสุขที่แท้จริงของฉัน และฉันไม่อยากจะให้ความสุขนี้มันหายไปจากชีวิตของฉันเลย","ข้าอยากจักให้ท่านรู้ว่าท่านคือความสุขที่แท้จริงของข้า และข้าไม่อยากจักให้ความสุขนี้มันหายไปจากชีวิตของข้าเลย"
B,"ฉันก็อยากจะบอกเธอว่าเธอคือความสุขของฉันเหมือนกันนะ ที่รัก และฉันก็จะพยายามรักษาความสุขนี้ไว้ให้ดีที่สุด เพื่อความรักของเรา","ข้าก็อยากจักบอกท่านว่าท่านคือความสุขของข้าเช่นกันหนา ที่รัก และข้าจักพยายามรักษาความสุขนี้ไว้ให้ดีที่สุด เพื่อความรักของเรา"
A,"ฉันอยากจะบอกเธอว่าฉันภูมิใจในตัวเธอมากๆ เลยนะ เธอเป็นคนที่เก่งและมีความสามารถ และฉันก็จะสนับสนุนเธอในทุกๆ เรื่อง","ข้าอยากจักบอกท่านว่าข้าภูมิใจในตัวท่านมากๆ เลยหนา ท่านเป็นคนที่เก่งและมีความสามารถ และข้าจักสนับสนุนท่านในทุกๆ เรื่อง"
B,"ฉันก็อยากจะบอกเธอว่าฉันภูมิใจในตัวเธอเหมือนกันนะ ที่รัก เธอเป็นคนที่เข้มแข็งและจิตใจดี และฉันก็จะอยู่เคียงข้างเธอเพื่อเป็นกำลังใจให้เธอเสมอ","ข้าก็อยากจักบอกท่านว่าข้าภูมิใจในตัวท่านเช่นกันหนา ที่รัก ท่านเป็นคนที่เข้มแข็งและจิตใจดี และข้าจักอยู่เคียงข้างท่านเพื่อเป็นกำลังใจให้ท่านเสมอ"
A,"ฉันอยากจะบอกเธอว่าเธอคือเพื่อนที่ดีที่สุดของฉัน และฉันมีความสุขมากๆ ที่ได้มีเธออยู่ในชีวิตของฉัน","ข้าอยากจักบอกท่านว่าท่านคือสหายที่ดีที่สุดของข้า และข้ามีความสุขมากๆ ที่ได้มีท่านอยู่ในชีวิตของข้า"
B,"ฉันก็อยากจะบอกเธอเหมือนกันนะ ที่รัก ว่าเธอเป็นเพื่อนที่ดีที่สุดของฉัน และฉันก็รู้สึกโชคดีที่ได้มีเธอเป็นเพื่อนและเป็นคนรักของฉัน","ข้าก็อยากจักบอกท่านเช่นกันหนา ที่รัก ว่าท่านเป็นสหายที่ดีที่สุดของข้า และข้าก็รู้สึกโชคดีที่ได้มีท่านเป็นสหายและเป็นคนรักของข้า"
A,"ฉันอยากจะบอกเธอว่าฉันรักเธอมากเท่าที่หัวใจของฉันจะรักได้ และฉันก็จะรักเธอไปตลอดชีวิตของฉัน","ข้าอยากจักบอกท่านว่าข้ารักท่านมากเท่าที่หัวใจของข้าจักรักได้ และข้าจักรักท่านไปตลอดชีวิตของข้า"
B,"ฉันก็อยากจะบอกเธอเหมือนกันนะ ที่รัก ว่าฉันรักเธอมากจนไม่รู้จะเทียบกับอะไรได้ และฉันก็จะรักเธอไปตลอดชีวิตของฉันเหมือนกัน","ข้าก็อยากจักบอกท่านเช่นกันหนา ที่รัก ว่าข้ารักท่านมากจนมิรู้จักเทียบกับสิ่งใดได้ และข้าจักรักท่านไปตลอดชีวิตของข้าเช่นกัน"
A,"ฉันอยากจะให้ความรักของเราเป็นเหมือนดวงดาวที่ส่องประกายในค่ำคืน อยากให้ความรักของเราเป็นเรื่องราวที่สวยงามและเป็นที่จดจำตลอดไป","ข้าอยากจักให้ความรักของเราเป็นเหมือนดวงดาวที่ส่องประกายในค่ำคืน อยากให้ความรักของเราเป็นเรื่องราวที่สวยงามและเป็นที่จดจำตลอดไป"
B,"ฉันก็อยากให้ความรักของเราเป็นแบบนั้นเหมือนกันนะ ที่รัก อยากให้ความรักของเราเป็นเหมือนบทเพลงที่ไพเราะ และอยากให้ความรักของเราเป็นนิรันดร์","ข้าก็อยากให้ความรักของเราเป็นแบบนั้นเช่นกันหนา ที่รัก อยากให้ความรักของเราเป็นเหมือนบทเพลงที่ไพเราะ และอยากให้ความรักของเราเป็นนิรันดร์"
A,"ฉันอยากจะบอกเธอว่าเธอคือทุกสิ่งทุกอย่างของฉัน เธอคือคนที่ฉันฝันถึง และฉันก็ดีใจที่ได้เจอเธอในชีวิตนี้","ข้าอยากจักบอกท่านว่าท่านคือทุกสิ่งทุกอย่างของข้า ท่านคือคนที่ข้าฝันถึง และข้าก็ดีใจที่ได้พบท่านในชีวิตนี้"
B,"ฉันก็อยากจะบอกเธอเหมือนกันนะ ที่รัก ว่าเธอคือทุกสิ่งทุกอย่างสำหรับฉัน เธอคือคนที่ฉันรอมาทั้งชีวิต และฉันก็จะรักเธอไปตลอดกาล","ข้าก็อยากจักบอกท่านเช่นกันหนา ที่รัก ว่าท่านคือทุกสิ่งทุกอย่างสำหรับข้า ท่านคือคนที่ข้ารอมาทั้งชีวิต และข้าจักรักท่านไปตลอดกาล"
A,"ฉันอยากจะขอให้เธอสัญญาว่าจะอยู่เคียงข้างฉันตลอดไป จะไม่ทิ้งฉันไปไหน และเราจะรักกันไปแบบนี้ตลอดชีวิต","ข้าอยากจักขอให้ท่านสัญญาว่าจะอยู่เคียงข้างข้าตลอดไป จักไม่ทิ้งข้าไปไหน และเราจักรักกันไปแบบนี้ตลอดชีวิต"
B,"ฉันสัญญา ที่รัก ฉันจะอยู่เคียงข้างเธอตลอดไป จะไม่ทิ้งเธอไปไหน และฉันก็จะรักเธอไปตลอดชีวิตเหมือนกัน เพราะเธอคือทุกสิ่งทุกอย่างของฉัน","ข้าสัญญา ที่รัก ข้าจักอยู่เคียงข้างท่านตลอดไป จักไม่ทิ้งท่านไปไหน และข้าจักรักท่านไปตลอดชีวิตเช่นกัน เพราะท่านคือทุกสิ่งทุกอย่างของข้า"
A,"ฉันอยากจะบอกเธอว่าฉันโชคดีมากแค่ไหนที่ได้มีเธออยู่ในชีวิตของฉัน เธอคือคนที่พิเศษที่สุด และฉันก็รักเธอมากจริงๆ","ข้าอยากจักบอกท่านว่าข้าโชคดีมากแค่ไหนที่ได้มีท่านอยู่ในชีวิตของข้า ท่านคือคนที่พิเศษที่สุด และข้าก็รักท่านมากจริงๆ"
B,"ฉันก็อยากจะบอกเธอเหมือนกันนะ ที่รัก ว่าฉันโชคดีที่สุดที่ได้พบเธอ และฉันก็จะรักเธอไปตลอดชีวิตของฉัน รักเธอมากนะ","ข้าก็อยากจักบอกท่านเช่นกันหนา ที่รัก ว่าข้าโชคดีที่สุดที่ได้พบท่าน และข้าจักรักท่านไปตลอดชีวิตของข้า รักท่านมากหนา"
